canDropScene-int[],canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,quality-int[],resourceInstructions-int[],subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int,boothFees-int
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Augmente la probabilité de chute de ressources de collecte de niveau supérieur.

-------
Ces gants sont conçus pour les collecteurs passionnés, offrant une meilleure adhérence et dextérité. Ils sont fabriqués à partir d'un matériau durable qui protège vos mains des épines et des arêtes vives, vous permettant de collecter des ressources avec facilité et efficacité. Avec ces gants, vous n'aurez plus à vous soucier des ampoules ou des coupures.
",0,item-icon-125,125,Lv 1 Gants de récolte,1,333,0,3,999,0,1,1,1,
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Augmente la probabilité de chute de ressources de collecte de niveau supérieur.

-------
Ces pantalons sont conçus pour les aventuriers passionnés, offrant confort et flexibilité lors de longs voyages. Avec des coutures renforcées et un tissu durable, ils sont parfaits pour collecter des ressources dans la nature sauvage. Restez agile et concentré avec ces pantalons indispensables pour tout explorateur dévoué.
",0,item-icon-122,122,Lv 1 Pantalon de récolte,1,336,0,3,999,0,1,1,1,
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Augmente la probabilité de chute de ressources de collecte de niveau supérieur.

-------
Ces pantalons sont conçus pour les aventuriers passionnés, offrant confort et flexibilité lors de longs voyages. Fabriqués avec des matériaux durables, ils offrent une excellente protection contre les éléments sans sacrifier la mobilité. Parfaits pour ceux qui cherchent à collecter des ressources efficacement tout en explorant les vastes paysages du jeu.
",0,item-icon-124,124,Lv 3 Pantalon de récolte,"1,2,3",354,0,3,999,0,1,3,1,
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Augmente la probabilité de chute de ressources de collecte de niveau supérieur.

-------
Ces pantalons sont parfaits pour collecter des ressources dans le jeu, offrant un espace de stockage supplémentaire et une durabilité. Ils sont conçus avec des coutures renforcées et de multiples poches, permettant aux joueurs de transporter et de collecter facilement divers matériaux sans craindre l'usure.
",0,item-icon-123,123,Lv 2 Pantalon de récolte,"1,2",345,0,3,999,0,1,2,1,
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Augmente la probabilité de chute de ressources de collecte de niveau supérieur.

-------
Ces gants sont conçus pour les collecteurs passionnés, offrant une dextérité et une adhérence améliorées. Ils sont fabriqués à partir d'un matériau durable qui offre une protection contre les épines et les objets tranchants. Avec ces gants, vous pouvez collecter des ressources avec facilité et efficacité.
",0,item-icon-127,127,Lv 3 Gants de récolte,"1,2,3",351,0,3,999,0,1,3,1,
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Augmente la probabilité de chute de ressources de collecte de niveau supérieur.

-------
Une veste pratique conçue pour les aventuriers, offrant une excellente protection contre les éléments. Son tissu durable et ses coutures renforcées en font un choix idéal pour les longs voyages et les activités de plein air. Restez au chaud et confortable sans sacrifier la mobilité avec cette pièce essentielle d'équipement.
",0,item-icon-121,121,Lv 3 Veste de récolte de niveau 3,"1,2,3",353,0,3,999,0,1,3,1,
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Augmente la probabilité de chute de ressources de collecte de niveau supérieur.

-------
Une veste pratique conçue pour les aventuriers, offrant une excellente protection contre les éléments. Son tissu durable et ses coutures renforcées en font un choix idéal pour les longs voyages et l'exploration en plein air. Avec plusieurs poches et des sangles réglables, elle offre commodité et fonctionnalité pour tout amateur de plein air.
",0,item-icon-120,120,Lv 2 Veste de récolte de niveau 2,"1,2",344,0,3,999,0,1,2,1,
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Augmente la probabilité de chute de ressources de collecte de niveau supérieur.

-------
Une veste durable conçue pour les aventures en plein air, offrant une excellente protection contre les éléments. Son tissu léger et respirant assure un confort lors de longues heures d'exploration. Avec plusieurs poches et des coutures renforcées, c'est le compagnon idéal pour tout aventurier passionné.
",0,item-icon-119,119,Lv 1 Veste de récolte de niveau 1,1,335,0,3,999,0,1,1,1,
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Augmente la probabilité de chute de ressources de collecte de niveau supérieur.

-------
Un chapeau élégant qui améliore vos capacités de collecte, facilitant la collecte de ressources dans le jeu. Un accessoire pratique qui augmente votre efficacité de collecte, vous permettant de collecter des matériaux plus rapidement et plus efficacement.
",0,item-icon-118,118,Lv 3 Chapeau de récolte,"1,2,3",352,0,3,999,0,1,3,1,
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Augmente la probabilité de chute de ressources de collecte de niveau supérieur.

-------
Un chapeau élégant qui améliore vos capacités de collecte, vous permettant de collecter des ressources plus efficacement. Son design unique offre confort et protection, en en faisant un accessoire indispensable pour tout collecteur dévoué. Un chapeau pratique conçu spécialement pour les tâches de collecte. Son matériau léger et respirant vous garde au frais et concentré pendant de longues heures de collecte.
",0,item-icon-117,117,Lv 2 Chapeau de récolte,"1,2",343,0,3,999,0,1,2,1,
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Rend vos cultures moins sujettes au flétrissement.

-------
Ces chaussures agricoles sont spécialement conçues pour les travailleurs agricoles. Elles présentent des caractéristiques antidérapantes, résistantes à l'usure et respirantes, qui peuvent protéger les pieds et améliorer l'efficacité du travail.
",0,item-icon-112,112,Lv 3 Chaussures de fermier,"1,2,3",204,0,1,999,0,1,3,1,718
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Rend vos cultures moins sujettes au flétrissement.

-------
Ces chaussures agricoles sont spécialement conçues pour les activités agricoles telles que le labourage et la plantation. Elles sont fabriquées à partir de matériaux de haute qualité qui sont durables, respirants et confortables, offrant une protection pour les pieds des agriculteurs.
",0,item-icon-111,111,Lv 2 Chaussures de fermier,"1,2",195,0,1,999,0,1,2,1,718
4,1,"Vous pouvez obtenir cet objet par synthèse. Lorsqu'il est équipé, il peut améliorer les attributs. Rend vos cultures moins sujettes au flétrissement.

-------
Ces chaussures agricoles sont fabriquées à partir de matériaux de haute qualité, légères et confortables, adaptées à un port prolongé. La semelle est antidérapante et convient à différents champs agricoles, rendant votre travail plus facile.
",0,item-icon-110,110,Lv 1 Chaussures de fermier,1,186,0,1,999,0,1,1,1,718
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Son utilisation peut déclencher des effets spéciaux.
-------
La nourriture pour animaux de compagnie est un produit consommable adapté aux animaux de compagnie de niveau 0, et peut augmenter la satiété et la valeur de croissance de l'animal de compagnie. Elle est fabriquée à partir de plantes naturelles et de nutriments, avec un goût rafraîchissant et une digestion et une absorption faciles. Chaque paquet de nourriture pour animaux de compagnie est léger et facile à transporter, ce qui en fait un article indispensable pour les propriétaires d'animaux de compagnie.
",27,item-icon-28,28,Lv 0 Nourriture - Petite,1,434,0,1,"1,0",0,3,0,1,718
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Son utilisation peut déclencher des effets spéciaux.
-------
La nourriture pour animaux est un produit consommable qui fournit les nutriments nécessaires aux animaux pour maintenir une croissance saine. Elle convient à divers animaux d'élevage et animaux de compagnie, et peut augmenter leur productivité et leur durée de vie.
",27,item-icon-29,29,Lv 0 Nourriture - Grande,1,435,0,1,"1,0",0,3,0,1,718
"1,3,4",0,"L'EXP agricole est une valeur d'expérience dans le jeu qui peut être obtenue grâce à des activités agricoles telles que la plantation de cultures et l'élevage d'animaux. C'est un facteur clé pour améliorer les compétences et les niveaux agricoles, et c'est également une condition nécessaire pour débloquer des outils et équipements agricoles de niveau supérieur.
",0,item-icon-188,188,EXP agricole,1,,0,"1,2,3",999,0,4,0,0,
"1,3,4",0,"L'EXP de combat fait référence à l'expérience acquise lors des combats. Elle peut aider les joueurs à monter de niveau et à améliorer leurs compétences, renforçant les capacités de leur personnage. Dans de nombreux jeux, l'EXP de combat est l'un des moyens importants pour les joueurs d'améliorer leur force.
",0,item-icon-189,189,EXP de combat,1,,0,"1,2,3",999,0,4,0,0,
"1,3,4",0,"L'EXP de collecte est une ressource clé dans le jeu, jouant un rôle vital dans l'augmentation de l'efficacité de collecte de ressources et les capacités du personnage. Les joueurs accumulent de l'expérience grâce à des activités telles que l'abattage d'arbres et l'extraction minière pour augmenter les niveaux de compétence de collecte. Les niveaux de compétence déterminent la vitesse de collecte, la probabilité d'acquisition de ressources rares et le déblocage de compétences de niveau supérieur. Au fur et à mesure de la progression du jeu, les besoins des personnages deviennent plus complexes, rendant les compétences de collecte élevées essentielles pour le soutien. De plus, une expérience de collecte élevée contribue également à améliorer les capacités d'attaque. Les joueurs doivent continuellement apprendre des compétences et améliorer leur expérience de collecte pour faire face courageusement aux défis et se hisser parmi les plus forts.
",0,item-icon-190,190,EXP de récolte,1,,0,"1,2,3",999,0,4,0,0,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse. Son utilisation peut déclencher des effets spéciaux.

-------

Cette potion peut être utilisée pendant les combats pour guérir vos blessures et restaurer votre capacité de combat.
",0,item-icon-191,191,Lv 2 Potion de guérison cristallisée,1,60,0,2,3,0,3,3,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse. Son utilisation peut déclencher des effets spéciaux.

-------

Cette potion peut augmenter votre puissance d'attaque et rendre vos attaques plus tranchantes. Son utilisation en combat peut vous donner un avantage plus grand.
",0,item-icon-192,192,Lv 2 Potion d'attaque cristallisée,1,60,0,2,3,0,3,3,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse. Son utilisation peut déclencher des effets spéciaux.

-------

Cette potion peut augmenter votre vitesse de déplacement et vous aider considérablement dans les combats.
",0,item-icon-194,194,Lv 2 Potion de rapidité cristallisée,1,60,0,2,3,0,3,3,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse. Son utilisation peut déclencher des effets spéciaux.

-------

Cette potion peut augmenter votre taux de coups critiques, vous rendant plus redoutable en combat.
",0,item-icon-195,195,Lv 2 Potion de coup critique cristallisée,1,60,0,2,3,0,3,3,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse. Son utilisation peut déclencher des effets spéciaux.

-------

Un élixir puissant qui restaure la vitalité et rajeunit l'aventurier fatigué, offrant une poussée d'énergie et des propriétés curatives. Cette précieuse potion est une bouée de sauvetage dans les situations désespérées, offrant un coup de pouce rapide et rafraîchissant pour vous maintenir en mouvement face au danger.
",0,item-icon-196,196,Lv 2 Potion de vie cristallisée,1,60,0,2,3,0,3,3,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse. Son utilisation peut déclencher des effets spéciaux.

-------

Cette potion peut ajouter une couche de protection cristalline à votre défense, vous rendant encore plus invincible en combat.
",0,item-icon-197,197,Lv 2 Potion de défense cristallisée,1,60,0,2,3,0,3,3,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse. Il peut être utilisé pour fabriquer des équipements ou des objets.

-------

Cette essence est collectée à partir des arbres et peut être utilisée pour produire diverses matières premières et substances synthétiques.
",0,item-icon-207,207,Lv 1 Essence de récolte,1,168,0,3,"1,0",0,4,1,1,
"1,3,4",1,Vous pouvez obtenir cet objet par synthèse. Il peut être utilisé pour fabriquer des équipements ou des objets.,0,item-icon-208,208,Lv 2 Essence de récolte,1,169,0,3,2,0,4,2,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Cet objet est une essence utilisée pour collecter des matières premières pour la synthèse et nécessite un niveau 3 pour être utilisé. Il peut être obtenu en collectant sur les arbres et est une ressource très importante.
",0,item-icon-209,209,Lv 3 Essence de récolte,1,170,0,3,3,0,4,3,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Cette essence de plantation agricole est soigneusement synthétisée à partir de matières premières agricoles de haute qualité et convient à la plantation agricole à partir du niveau un. Elle peut améliorer le taux de croissance et le rendement des cultures, ainsi que la qualité et le goût des récoltes. Son utilisation peut rendre vos cultures plus saines et prospères, et rendre votre production agricole plus efficace et stable.
",0,item-icon-210,210,Lv 1 Essence de plantation agricole,1,141,0,1,"1,0",0,4,1,1,718
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Il s'agit d'une essence spécialement conçue pour la plantation agricole, qui peut améliorer le taux de croissance et le rendement des cultures et aider à améliorer l'efficacité de la production agricole. Elle est synthétisée à partir de diverses matières premières agricoles et est un élément indispensable dans la production agricole.
",0,item-icon-211,211,Lv 2 Essence de plantation agricole,1,142,0,1,2,0,4,2,1,718
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Cette essence de plantation agricole est un mélange de diverses essences végétales précieuses, qui a un effet miraculeux sur la promotion de la croissance des cultures et l'augmentation du rendement. Elle est l'une des matières premières indispensables dans le domaine agricole et convient à différents types de cultures.
",0,item-icon-212,212,Lv 3 Essence de plantation agricole,1,143,0,1,3,0,4,3,1,718
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Cette essence d'agriculture et d'élevage est un mélange de diverses essences végétales et animales naturelles, qui peut améliorer l'efficacité de la production agricole et animale. Elle est riche en composants nutritionnels et en substances bioactives, ce qui peut favoriser la croissance saine des cultures et du bétail.
",0,item-icon-213,213,Lv 1 Essence d'élevage agricole,1,144,0,1,"1,0",0,4,1,1,718
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Il s'agit d'une essence extraite de l'agriculture et de l'élevage, qui peut être utilisée pour synthétiser d'autres matières premières agricoles.
",0,item-icon-214,214,Lv 2 Essence d'élevage agricole,1,145,0,1,2,0,4,2,1,718
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Cette essence est extraite de produits agricoles et d'élevage de haute qualité, avec une valeur nutritionnelle et médicinale extrêmement élevée. Elle peut être utilisée pour fabriquer divers médicaments et assaisonnements liés à l'agriculture et à l'élevage.
",0,item-icon-215,215,Lv 3 Essence d'élevage agricole,1,146,0,1,3,0,4,3,1,718
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Cette essence de combat est une matière première utilisée pour synthétiser des équipements de niveau supérieur, possédant de puissantes capacités de combat et adaptée aux combats de niveau 1.
",0,item-icon-216,216,Lv 1 Essence de combat,1,159,0,2,"1,0",0,4,1,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Il s'agit d'une essence de combat utilisée pour synthétiser des équipements de niveau 2, qui peut améliorer les attributs de combat de l'équipement. Elle est synthétisée à partir de matières premières obtenues lors des combats et est un objet indispensable dans les combats.
",0,item-icon-217,217,Lv 2 Essence de combat,1,160,0,2,2,0,4,2,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Il s'agit d'une matière première utilisée pour la synthèse d'équipements de combat, qui possède une grande capacité de combat et peut améliorer le niveau et les attributs de l'équipement.
",0,item-icon-218,218,Lv 3 Essence de combat,1,161,0,2,3,0,4,3,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Son utilisation peut déclencher des effets spéciaux.
-------
Cet engrais peut favoriser le taux de croissance des cultures et convient aux cultures intermédiaires.
",98,item-icon-219,219,Lv 0 Meilleur engrais accéléré,1,,0,1,999,0,3,0,1,718
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Son utilisation peut déclencher des effets spéciaux.
-------
Ces engrais sont spécialement formulés pour améliorer le rendement des cultures, ce qui se traduit par des récoltes abondantes. Ils fournissent des nutriments essentiels et favorisent une croissance saine des plantes, garantissant une productivité optimale pour les agriculteurs. Augmentez vos rendements avec ces engrais de haute qualité.
",98,item-icon-220,220,Lv 0 Meilleur engrais augmentant le rendement,1,,0,1,999,0,3,0,1,718
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Son utilisation peut déclencher des effets spéciaux.
-------
Cet engrais permet une meilleure rétention de l'humidité pour les plantes, garantissant qu'elles restent hydratées et en bonne santé. Il favorise une croissance et une nutrition optimales sans nécessiter un arrosage constant. Offrez à vos plantes les meilleurs soins avec cet engrais hydratant avancé.
",98,item-icon-221,221,Lv 0 Meilleur engrais hydratant,1,,0,1,999,0,3,0,1,718
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre puissance d'attaque en combat.
-------
Cet outil puissant est fabriqué à partir de pierre solide, ce qui le rend incroyablement durable et parfait pour briser les obstacles difficiles. Sa tête lourde offre un impact satisfaisant, ce qui en fait un favori parmi les aventuriers et les constructeurs.
",0,item-icon-222,222,Lv 0 Marteau en pierre,1,254,0,2,999,0,1,0,1,
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre puissance d'attaque en combat.
-------
Un arc en bois solide fabriqué avec précision, parfait pour les attaques à longue portée. Sa surface lisse et sa conception finement sculptée garantissent une prise confortable et des tirs précis.
",0,item-icon-223,223,Lv 0 Arc en bois,1,255,0,2,999,0,1,0,1,
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
La faucille en pierre est une faucille en pierre dure. Sa lame est tranchante et peut facilement couper diverses plantes. La poignée de la faucille en pierre est soigneusement conçue, offrant une prise confortable et une utilisation stable et flexible. Sa matière en pierre la rend durable et résistante à la rouille, ce qui la rend adaptée à une utilisation en extérieur. Que ce soit pour tailler les pelouses ou récolter les cultures, la faucille en pierre est un outil pratique.
",0,item-icon-225,225,Lv 1 Faucille en pierre,1,329,0,3,999,0,1,0,1,
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
La faucille en cuivre est un outil agricole en cuivre pur, doté d'une lame incurvée et d'une poignée solide. Sa lame tranchante et durable est adaptée à la coupe des cultures et de l'herbe. Le matériau en cuivre rend la faucille plus robuste et résistante à la rouille. Elle est finement conçue, confortable à tenir et facile à utiliser. La faucille en cuivre est l'un des outils de travail indispensables pour les agriculteurs, les aidant à terminer la récolte dans les champs. Que ce soit sur le terrain ou à la ferme, la faucille en cuivre démontre sa praticité et sa durabilité.
",0,item-icon-226,226,Lv 2 Faucille en cuivre,1,332,0,3,999,0,1,1,1,
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
La faucille en fer est un outil solide et durable fabriqué en fer de haute qualité. Sa lame est tranchante et adaptée à la coupe de l'herbe, à la récolte des cultures et à d'autres travaux agricoles. La conception incurvée de la faucille permet aux utilisateurs de couper facilement les cultures et d'améliorer l'efficacité du travail. Sa poignée est soigneusement conçue pour une prise confortable et une utilisation stable. Que ce soit pour les travaux agricoles ou la taille des jardins, la faucille en fer est un outil indispensable.
",0,item-icon-227,227,Lv 3 Faucille en fer,1,347,0,3,999,0,1,2,1,
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
La faux en cristal, une arme brillant d'une clarté cristalline, la lame est en cristal pur, transparente comme de l'eau, émettant une magie mystérieuse. La lame de la faux est incroyablement tranchante, capable de couper sans effort tous les obstacles. Sa poignée est ornée de motifs argentés exquis, dégageant une sensation de noblesse et de mystère. En tenant la faux en cristal, on a l'impression de pouvoir contrôler le pouvoir de la nature, de libérer une énergie illimitée, de devenir une présence invincible en combat. Que ce soit un guerrier ou un mage, ils aspirent tous à posséder cette arme unique pour montrer leur immense force.
",0,item-icon-228,228,Lv 4 Faucille en cristal,1,350,0,3,999,0,1,3,1,
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
La faucille dorée, brillant d'une lumière dorée, incroyablement tranchante, la lame de la faucille est incrustée d'or précieux, dégageant une aura de luxe. La lame de la faucille est incurvée, parfaite pour la récolte des cultures. D'un seul coup, elle apporte une récolte abondante, tout comme l'or. La poignée est minutieusement sculptée, magnifique mais confortable, la tenant dans votre main, vous avez l'impression de posséder un pouvoir infini. Que ce soit comme décoration ou comme outil pratique, la faucille dorée est un choix unique et luxueux.
",0,item-icon-229,229,Lv 5 Faucille en or,1,363,0,3,999,0,1,4,1,
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
La faux en diamant est une arme exquise et magnifique, avec sa lame en diamant pur, brillant d'une lumière captivante. La lame de la faux est incroyablement tranchante, capable de couper sans effort tous les obstacles. Sa poignée est finement conçue, offrant une prise confortable, permettant une plus grande agilité et facilité en combat. La faux en diamant possède non seulement une puissance d'attaque redoutable, mais aussi des propriétés magiques uniques, capable de libérer des ondes d'énergie mortelle, laissant les ennemis sans échappatoire. Que ce soit en combat ou en exposition, la faux en diamant est un trésor remarquable qui attire l'attention.
",0,item-icon-230,230,Lv 6 Faucille en diamant,1,371,0,3,999,0,1,5,1,
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
La faux étoilée, une faux brillant de la lumière des étoiles, avec d'innombrables étoiles lumineuses incrustées dans sa lame, émettant une lueur mystérieuse. Sa lame est incroyablement tranchante, capable de couper sans effort tous les obstacles. La poignée de la faux est sculptée avec d'exquis motifs de constellations, donnant une sensation de divinité et de solennité. Manier la faux étoilée donne l'impression de maîtriser le pouvoir des étoiles, permettant de ressentir une force infinie et une gloire sans fin. Que ce soit en combat ou en cérémonie, c'est un excellent choix.
",0,item-icon-231,231,Lv 7 Faux de lumière des étoiles,1,,0,3,999,0,1,6,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Son utilisation peut déclencher des effets spéciaux.
-------
Une bombe
",347,item-icon-232,232,Bombe,1,,0,3,999,0,3,0,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Son utilisation peut déclencher des effets spéciaux.
-------
Potion de paralysie
",348,item-icon-233,233,Potion d'étourdissement,1,,0,3,999,0,3,0,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Son utilisation peut déclencher des effets spéciaux.
-------
Potion visqueuse
",351,item-icon-234,234,Potion visqueuse,1,,0,3,999,0,3,0,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Son utilisation peut déclencher des effets spéciaux.
-------
Potion enflammée
",352,item-icon-235,235,Potion brûlante,1,,0,3,999,0,3,0,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Son utilisation peut déclencher des effets spéciaux.
-------
Flash jaune
",356,item-icon-236,236,Flash jaune,1,,0,3,999,0,3,0,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Son utilisation peut déclencher des effets spéciaux.
-------
Combo manqué
",357,item-icon-237,237,Combo manqué,1,,0,3,999,0,3,0,1,
"1,3,4",1,"Vous pouvez obtenir cet objet par synthèse.
Son utilisation peut déclencher des effets spéciaux.
-------
Effacement de buff
",358,item-icon-238,238,Effacement de buff,1,,0,3,999,0,3,0,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-241,241,Cheveux de Pro du Baseball,5,,0,2,999,0,1,1,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-242,242,Haut de Pro du Baseball,5,,0,2,999,0,1,1,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-243,243,Gants de Pro du Baseball,5,,0,2,999,0,1,1,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-244,244,Pantalon de Pro du Baseball,5,,0,2,999,0,1,1,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-245,245,Chaussures de Pro du Baseball,5,,0,2,999,0,1,1,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-246,246,Cheveux Ya-shiro,5,,0,2,999,0,1,3,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-247,247,Haut Ya-shiro,5,,0,2,999,0,1,3,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-248,248,Gants Ya-shiro,5,,0,2,999,0,1,3,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-249,249,Pantalon Ya-shiro,5,,0,2,999,0,1,3,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-250,250,Chaussures Ya-shiro,5,,0,2,999,0,1,3,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-251,251,Cheveux du Baron de l'Enfer,5,,0,2,999,0,1,3,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-252,252,Haut du Baron de l'Enfer,5,,0,2,999,0,1,3,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-253,253,Gants du Baron de l'Enfer,5,,0,2,999,0,1,3,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-254,254,Pantalon du Baron de l'Enfer,5,,0,2,999,0,1,3,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-255,255,Chaussures du Baron de l'Enfer,5,,0,2,999,0,1,3,1,
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-257,257,Cheveux de Lad Élégant,5,,0,1,999,0,1,0,1,718
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-258,258,Haut de Lad Élégant,5,,0,1,999,0,1,0,1,718
4,1," Il y a une chance d'obtenir lors de la synthèse d'équipement.
Apparence à la mode sans attributs
-------
Suggère de porter comme mode
",0,item-icon-259,259,Gants de Lad Élégant,5,,0,1,999,0,1,0,1,718
