desc-string,duration-int,effectType-int,id-int,isRepeat-bool,maxLayer-int,parameters-int[],showBuffIcon-bool,parameters2-int[][],buffIcon-string,effectInterval-int,effectFlag-int[],effectImmuneFlag-int[],entityEffect-string
WarTrampling 2 Upgrade 2,-1,15,355,0,,,0,"64,1,3,360",,,,,
WarTrampling 2 Upgrade 2 Effect Ball Stun,3000,8,356,0,1,,1,,buff-icon-356,,,,
WarTrampling 3 Upgrade 1,-1,15,357,0,,,0,"65,1,3,358",,,,,
WarTrampling 3 Upgrade 1 Effect Ball Slow Down,3000,7,358,0,,,0,"7,2,-200",,,,,
WarTrampling 3 Upgrade 2,-1,15,359,0,,,0,"65,1,3,360",,,,,
WarTrampling 3 Upgrade 2 Effect Ball Stun,3000,8,360,0,1,,1,,buff-icon-360,,,,
Bull Rush 1 Upgrade 1,-1,15,361,0,,,0,"122,1,3,362",,,,,
Bull Rush 1 Upgrade 1 Effect Ball,5000,7,362,0,,,0,"7,2,-200",,,,,
Bull Rush 1 Upgrade 2,-1,15,363,0,,,0,"122,1,3,364",,,,,
Bull Rush 1 Upgrade 2 Effect Ball,5000,7,364,0,,,0,"7,2,-200",,,,,
Bull Rush 2 Upgrade 1,-1,15,365,0,,,0,"123,1,3,366",,,,,
Bull Rush 2 Upgrade 1 Effect Ball,5000,7,366,0,,,0,"7,2,-200",,,,,
Bull Rush 2 Upgrade 2,-1,15,367,0,,,0,"123,1,3,368",,,,,
Bull Rush 2 Upgrade 2 Effect Ball,5000,7,368,0,,,0,"7,2,-200",,,,,
Bull Rush 3 Upgrade 1,-1,15,369,0,,,0,"124,1,3,370",,,,,
Bull Rush 3 Upgrade 1 Effect Ball,5000,7,370,0,,,0,"7,2,-200",,,,,
Bull Rush 3 Upgrade 2,-1,15,371,0,,,0,"124,1,3,372",,,,,
Bull Rush 3 Upgrade 2 Effect Ball,5000,7,372,0,,,0,"7,2,-200",,,,,
Blade Flurry 1 Upgrade 1,-1,15,373,0,,,0,"137,1,3,374",,,,,
Blade Flurry 1 Upgrade 1 Effect Ball,5000,7,374,0,,,0,"7,2,-200",,,,,
Blade Flurry 1 Upgrade 2,-1,15,375,0,,,0,"137,1,3,376",,,,,
Blade Flurry 1 Upgrade 2 Effect Ball,5000,7,376,0,,,0,"7,2,-200",,,,,
Blade Flurry 2 Upgrade 1,-1,15,377,0,,,0,"138,1,3,378",,,,,
Blade Flurry 2 Upgrade 1 Effect Ball,5000,7,378,0,,,0,"7,2,-200",,,,,
Blade Flurry 2 Upgrade 2,-1,15,379,0,,,0,"138,1,3,380",,,,,
Blade Flurry 2 Upgrade 2 Effect Ball,5000,7,380,0,,,0,"7,2,-200",,,,,
Blade Flurry 3 Upgrade 1,-1,15,381,0,,,0,"139,1,3,382",,,,,
Blade Flurry 3 Upgrade 1 Effect Ball,5000,7,382,0,,,0,"7,2,-200",,,,,
Blade Flurry 3 Upgrade 2,-1,15,383,0,,,0,"139,1,3,384",,,,,
Blade Flurry 3 Upgrade 2 Effect Ball,5000,7,384,0,,,0,"7,2,-200",,,,,
Base damage (thousandth coefficient),0,1,385,0,1,"750,1",0,,,,,,
Base damage (thousandth coefficient),0,1,386,0,1,"1250,1",0,,,,,,
Base damage (thousandth coefficient),0,1,387,0,1,"500,1",0,,,,,,
Base damage (thousandth coefficient),0,1,388,0,1,"1500,1",0,,,,,,
Reduce the speed 50%,10000,7,390,0,10,,0,"7,2,-200",,,,,SkillEffect_Slowdown
Burning,5000,9,391,0,5,100,0,,,500,,,SkillEffect_Burning
Yellow Flash,334,2,392,0,1,"500,0,1",0,,,,,,Flash 13
Miss,5000,7,393,0,1,,1,"17,2,500",,,,,Flash 13
Clear,1000,4,394,0,1,,1,,,,,,Flash 13
,-1,31,395,0,875,231,0,"1,2,0;2,2,9,150;2,1,419,500",buff-icon-395,10000,,,
,-1,31,396,0,6,233,0,"2,1,227,1;2,1,391,5;2,1,419,-1",buff-icon-396,10000,,,
,-1,31,397,0,10,235,0,"2,2,3,1;2,1,391,5;2,1,419,-1",buff-icon-397,10000,,,
,-1,31,398,0,10,235,0,"2,2,3,1;2,1,418,5",buff-icon-398,10000,,,
,-1,31,399,0,6,233,0,"2,1,227,1;2,1,416,5",buff-icon-399,10000,,,
,-1,31,400,0,1500,231,0,"1,2,0;2,2,9,150;2,1,419,-500;2,1,391,1000",buff-icon-400,10000,,,
,-1,31,401,0,2000,231,0,"1,2,0;2,2,9,150",buff-icon-401,10000,,,
,-1,31,402,0,15,235,0,"2,2,3,1;2,1,391,5",buff-icon-402,10000,,,
,-1,31,403,0,9,233,0,"2,1,227,1;2,1,416,5;2,1,391,5",buff-icon-403,10000,,,
Puncture,3000,9,404,0,5,10,1,,buff-icon-404,500,,,
,300,2,414,0,1,"300,0,-1",0,,,,,,
,2000,7,416,0,1,,0,"10,1,0",,,,,
,2000,7,417,0,1,,0,"10,1,0",,,,,
,2000,7,418,0,1,,0,"10,1,0",,,,,
,2000,7,419,0,1,,0,"10,1,0",,1000,,,SkillEffect_watering
,2000,7,420,0,1,,0,"10,1,0",,,,,
,-1,31,421,0,9,235,0,"2,2,3,1;2,1,419,3",buff-icon-421,10000,,,
,10000,7,422,0,1,,0,"13,2,-200;14,2,-500",,,,,SkillEffect_FrostyLord_Weak
,10000,7,423,0,1,,0,"10,1,0",,,,,SkillEffect_FrostyLord_Angry
,-1,31,424,0,2000,422,0,"1,2,0;2,2,9,150",buff-icon-424,10000,,,
,1600,12,425,0,5,,0,"1,5;387,445,456",,400,,,
霸体2s,2000,5,426,0,10,,0,,,,,,
,0,7,427,0,1,,0,"10,1,120",,,,,
,60000,7,428,0,1,,1,"13,1,50",buff-icon-428,,,,
,60000,7,429,0,1,,1,"7,1,200",buff-icon-429,,,,
,60000,7,430,0,1,,1,"20,1,120",buff-icon-430,,,,
,60000,7,431,0,1,,1,"11,1,200",buff-icon-431,,,,
,60000,7,432,0,1,,1,"15,1,20",buff-icon-432,,,,
,0,7,433,0,1,,0,"10,1,400",,,,,
,60000,7,434,0,1,,1,"13,1,60",buff-icon-434,,,,
,60000,7,435,0,1,,1,"7,1,240",buff-icon-435,,,,
,60000,7,436,0,1,,1,"20,1,150",buff-icon-436,,,,
,60000,7,437,0,1,,1,"11,1,240",buff-icon-437,,,,
,60000,7,438,0,1,,1,"15,1,25",buff-icon-438,,,,
,0,7,439,0,1,,0,"10,1,480",,,,,
,60000,7,440,0,1,,1,"13,1,70",buff-icon-440,,,,
,60000,7,441,0,1,,1,"7,1,280",buff-icon-441,,,,
,60000,7,442,0,1,,1,"20,1,180",buff-icon-442,,,,
,60000,7,443,0,1,,1,"11,1,280",buff-icon-443,,,,
,60000,7,444,0,1,,1,"15,1,30",buff-icon-444,,,,
stuned 0.75s,750,8,445,0,1,,1,,buff-icon-445,,,,
stuned 0.5s,500,8,446,0,1,,1,,buff-icon-446,,,,
,-1,31,447,0,7500,231,0,"1,2,0;2,1,227,2500",buff-icon-447,10000,,,
,-1,31,448,0,9,233,0,"2,1,227,1;2,1,391,5",buff-icon-448,10000,,,
,-1,31,449,0,9,233,0,"2,1,227,1;2,1,391,5",buff-icon-449,10000,,,
,-1,31,450,0,7500,231,0,"1,2,0;2,1,227,2500",buff-icon-450,10000,,,
,-1,31,451,0,9,233,0,"2,1,227,1;2,1,391,5",buff-icon-451,10000,,,
,-1,31,452,0,15,235,0,"2,2,3,1;2,1,391,5",buff-icon-452,10000,,,
,-1,31,453,0,9,233,0,"2,1,227,1;2,1,391,5;2,1,416,5",buff-icon-453,10000,,,
,-1,31,454,0,15,235,0,"2,2,3,1;2,1,227,5",buff-icon-454,10000,,,
,-1,31,455,0,15,235,0,"2,2,3,1;2,1,391,5",buff-icon-455,10000,,,
向后击退-2.5M,300,3,456,0,1,250,0,,,,,,
向后击退-5M,500,3,457,0,1,500,0,,,,,,
基础伤害 陷阱用,0,1,458,0,1,"1,1",0,,,,,,
复活生命值20%,0,33,459,0,1,200,0,,,,,,
,1400,2,460,0,1,"1200,0,1",0,,,,,,
,1400,12,461,0,3,,0,"1,1;462,239",,700,,,
,1000,1,462,0,2,"500,1",0,,,1000,,,
,2000,5,463,0,10,,0,,,,,,
,500,5,464,0,10,,0,,,,,,
,10000,7,465,0,1,,1,"13,2,100;10,2,200",buff-icon-465,,,,
,1000,12,466,0,1,,0,"2,5;465",,,,,
,2000,5,467,1,10,,0,,,,,,
,500,6,468,0,1,"100,1000,200,1",0,,,,,,
,1000,2,469,0,1,"1500,600,1",0,,,,,,
15s内提高单位宠物幸福值,15000,7,470,0,1,,1,"46,2,50",buff-icon-470,,,,Skill_lovelyTouch
stuned 2s,2000,8,471,0,1,,1,,buff-icon-471,,,,
,1000,10,472,0,1,"1,456,445",0,,,100,,,
,1333,2,473,0,1,"1200,0,1",0,,,,,,
,100,12,474,0,1,,0,"1,4;15",,,,,
,666,6,475,0,1,"0,1000,500,1",0,,,,,,
,-1,31,476,0,9,233,0,"2,1,227,1;2,1,391,5",,10000,,,
,-1,31,477,0,10000,231,0,"1,2,0;2,1,391,2500",,10000,,,
,-1,31,478,0,10000,231,0,"1,2,0;2,1,227,2500",,10000,,,
,-1,31,479,0,7500,231,0,"1,2,0;2,1,227,2500",,10000,,,
,-1,31,480,0,9,233,0,"2,1,227,1",,10000,,,
,-1,31,481,0,15,235,0,"2,2,3,1;2,1,227,5",,10000,,,
,-1,34,482,1,2,,0,"1,28,1800000,1,5",,120000,,,
Invincible 1s,1000,4,483,0,1,,0,,,,,,
Invincible 2s,2000,4,484,0,1,,0,,,,,,
Invincible 3s,3000,4,485,0,1,,0,,,,,,
,300,2,486,0,1,"300,0,-1",0,,,,,,
,350,6,487,0,1,"250,750,100,1",0,,,,,,
,3000,7,488,0,1,,0,"16,1,10000",,,,,
,5000,35,489,0,1,491,1,,buff-icon-489,100,,,
,5000,35,490,1,1,492,1,,buff-icon-490,100,,,
,-1,9,491,0,1,200,1,,buff-icon-491,500,,,
,-1,7,492,0,1,,1,"7,2,-900",buff-icon-492,500,,,
,5000,35,493,1,1,494,1,,buff-icon-493,100,,,
,-1,7,494,0,1,,1,"10,1,120",buff-icon-494,1000,,,
,3000,7,495,0,1,,1,"7,2,-900",buff-icon-495,,,,
,1800000,34,496,1,2,,0,"1,32,1800000,1,5",,1800000,,,
,1800000,34,497,1,1,,0,"1,42,1800000,1,5",,1800000,,,
,1800000,34,498,1,1,,0,"1,35,1800000,1,5",,1800000,,,
,1800000,34,499,1,1,,0,"1,36,1800000,1,5",,1800000,,,
,-1,35,500,0,1,494,0,,,100,,,
,433,2,501,0,1,"1200,0,1",0,,,,,,
,250,2,502,0,1,"150,0,0",0,,,,,,
,350,2,503,0,1,"-300,250,0",0,,,,,,
,-1,7,504,0,1,,0,"16,2,20",,,,,
,-1,7,505,0,1,,0,"16,2,20",,,,,
,-1,7,506,0,1,,0,"16,2,20",,,,,
Healing,5000,7,507,0,1,,1,"10,2,50",buff-icon-507,500,,,
inspire,10000,7,508,0,1,,1,"13,2,50;14,2,2000",buff-icon-508,,,,Skill_ATK_BuffLoop
,5000,2,509,0,1,"100,50,1",0,,,50,,,
,5000,35,510,1,1,512,1,,,100,,,
,5000,35,511,1,1,492,1,,,100,,,
,-1,9,512,0,1,100,0,,,500,,,
Healingring,10000,35,513,1,1,514,1,,,100,,,Skill_healRing
,-1,7,514,0,1,,0,,,1000,,,
,3000,7,515,0,3,,1,"7,2,-200",buff-icon-515,100,,,
,5000,7,516,0,10,,1,"15,1,3",buff-icon-516,,,,
,3000,12,518,0,1,,0,"1,10;385",,500,,,
,,1,519,0,,"100,1",0,,,,,,
,,7,520,0,,,0,"10,1,80",,,,,
,,3,521,0,,5,0,,,,,,
,1900,12,523,0,1,,0,"1,20;386",,666,,,Skill_earthquake02
,1333,12,525,0,1,,0,"1,10;385",,400,,,
,10000,9,532,1,3,10,1,,,1000,,,
,,33,533,0,,10,0,,,,,,
,3000,12,535,0,1,,0,"1,20;386",,500,,,
,2000,2,536,0,,"2000,0,1",0,,,,,,
,3000,9,537,0,1,30,0,,,500,,,
,1000,9,538,0,1,100,0,,,500,,,
,10000,9,541,1,1,10,1,,,1000,,,
,5000,35,544,0,1,491,0,,buff-icon-544,100,,,
,3000,7,545,0,10,,1,"7,2,-50,,1",buff-icon-545,300,,,
,15000,7,546,0,1,,0,"7,2,300,,1",,500,,,
,2000,2,547,0,,"2000,,1",0,,,,,,
,1500,12,548,1,1,,0,"1,5;385",,500,,,
,800,12,549,1,1,,0,"1,5;385",,133,,,
,3000,12,550,1,1,,0,"1,5;385",,1400,,,
,1400,12,551,1,1,,0,"1,5;385",,666,,,
,500,12,552,1,1,,0,"1,5;385",,250,,,
