gearAttribute-int[][],gearAvatar-int,gearDurabilityMax-int,gearQuality-int,gearType-int,gender-string,givenSkillId-int[],id-int,itemId-int
"49,1,352,395;50,1,352,395;44,1,2064,2152;47,1,2064,2152",297,999,2,2,unisex,,423,356
"49,1,395,438;50,1,395,438;44,1,2152,2240;47,1,2152,2240",297,999,3,2,unisex,,424,356
"49,1,438,481;50,1,438,481;44,1,2240,2328;47,1,2240,2328",297,999,4,2,unisex,,425,356
"49,1,481,524;50,1,481,524;44,1,2328,2416;47,1,2328,2416",297,999,5,2,unisex,,426,356
"49,1,632,718;50,1,632,718;44,1,2416,2503;47,1,2416,2503",302,999,1,2,unisex,,427,361
"49,1,718,804;50,1,718,804;44,1,2503,2591;47,1,2503,2591",302,999,2,2,unisex,,428,361
"49,1,804,890;50,1,804,890;44,1,2591,2679;47,1,2591,2679",302,999,3,2,unisex,,429,361
"49,1,890,976;50,1,890,976;44,1,2679,2767;47,1,2679,2767",302,999,4,2,unisex,,430,361
"49,1,976,1062;50,1,976,1062;44,1,2767,2855;47,1,2767,2855",302,999,5,2,unisex,,431,361
"49,1,201,237;50,1,201,237;44,1,1222,1309;47,1,1222,1309",294,999,1,3,unisex,,432,353
"49,1,237,274;50,1,237,274;44,1,1309,1396;47,1,1309,1396",294,999,2,3,unisex,,433,353
"49,1,274,311;50,1,274,311;44,1,1396,1483;47,1,1396,1483",294,999,3,3,unisex,,434,353
"49,1,311,348;50,1,311,348;44,1,1483,1571;47,1,1483,1571",294,999,4,3,unisex,,435,353
"49,1,421,479;50,1,421,479;44,1,1571,1641;47,1,1571,1641",299,999,1,3,unisex,,436,358
"49,1,479,538;50,1,479,538;44,1,1641,1711;47,1,1641,1711",299,999,2,3,unisex,,437,358
"49,1,538,596;50,1,538,596;44,1,1711,1781;47,1,1711,1781",299,999,3,3,unisex,,438,358
"49,1,596,655;50,1,596,655;44,1,1781,1851;47,1,1781,1851",299,999,4,3,unisex,,439,358
"49,1,655,714;50,1,655,714;44,1,1851,1921;47,1,1851,1921",299,999,5,3,unisex,,440,358
"49,1,860,977;50,1,860,977;44,1,1921,1990;47,1,1921,1990",304,999,1,3,unisex,,441,363
"49,1,977,1094;50,1,977,1094;44,1,1990,2060;47,1,1990,2060",304,999,2,3,unisex,,442,363
"49,1,1094,1211;50,1,1094,1211;44,1,2060,2130;47,1,2060,2130",304,999,3,3,unisex,,443,363
"49,1,1211,1328;50,1,1211,1328;44,1,2130,2200;47,1,2130,2200",304,999,4,3,unisex,,444,363
"49,1,1328,1446;50,1,1328,1446;44,1,2200,2270;47,1,2200,2270",304,999,5,3,unisex,,445,363
"49,1,148,174;50,1,148,174;44,1,970,1039;47,1,970,1039",293,999,1,5,unisex,,446,352
"49,1,174,201;50,1,174,201;44,1,1039,1108;47,1,1039,1108",293,999,2,5,unisex,,447,352
"49,1,201,228;50,1,201,228;44,1,1108,1177;47,1,1108,1177",293,999,3,5,unisex,,448,352
"49,1,228,255;50,1,228,255;44,1,1177,1247;47,1,1177,1247",293,999,4,5,unisex,,449,352
"49,1,309,352;50,1,309,352;44,1,1247,1302;47,1,1247,1302",298,999,1,5,unisex,,450,357
"49,1,352,395;50,1,352,395;44,1,1302,1358;47,1,1302,1358",298,999,2,5,unisex,,451,357
"49,1,395,438;50,1,395,438;44,1,1358,1413;47,1,1358,1413",298,999,3,5,unisex,,452,357
"49,1,438,481;50,1,438,481;44,1,1413,1469;47,1,1413,1469",298,999,4,5,unisex,,453,357
"49,1,481,524;50,1,481,524;44,1,1469,1525;47,1,1469,1525",298,999,5,5,unisex,,454,357
"49,1,632,718;50,1,632,718;44,1,1525,1580;47,1,1525,1580",303,999,1,5,unisex,,455,362
"49,1,718,804;50,1,718,804;44,1,1580,1635;47,1,1580,1635",303,999,2,5,unisex,,456,362
"49,1,804,890;50,1,804,890;44,1,1635,1691;47,1,1635,1691",303,999,3,5,unisex,,457,362
"49,1,890,976;50,1,890,976;44,1,1691,1746;47,1,1691,1746",303,999,4,5,unisex,,458,362
"49,1,976,1062;50,1,976,1062;44,1,1746,1802;47,1,1746,1802",303,999,5,5,unisex,,459,362
"49,1,201,237;50,1,201,237;44,1,1285,1376;47,1,1285,1376",295,999,1,4,unisex,,460,354
"49,1,237,274;50,1,237,274;44,1,1376,1468;47,1,1376,1468",295,999,2,4,unisex,,461,354
"49,1,274,311;50,1,274,311;44,1,1468,1560;47,1,1468,1560",295,999,3,4,unisex,,462,354
"49,1,311,348;50,1,311,348;44,1,1560,1652;47,1,1560,1652",295,999,4,4,unisex,,463,354
"49,1,421,479;50,1,421,479;44,1,1652,1725;47,1,1652,1725",300,999,1,4,unisex,,464,359
"49,1,479,538;50,1,479,538;44,1,1725,1799;47,1,1725,1799",300,999,2,4,unisex,,465,359
"49,1,538,596;50,1,538,596;44,1,1799,1872;47,1,1799,1872",300,999,3,4,unisex,,466,359
"49,1,596,655;50,1,596,655;44,1,1872,1946;47,1,1872,1946",300,999,4,4,unisex,,467,359
"49,1,655,714;50,1,655,714;44,1,1946,2020;47,1,1946,2020",300,999,5,4,unisex,,468,359
"49,1,860,977;50,1,860,977;44,1,2020,2093;47,1,2020,2093",305,999,1,4,unisex,,469,364
"49,1,977,1094;50,1,977,1094;44,1,2093,2166;47,1,2093,2166",305,999,2,4,unisex,,470,364
"49,1,1094,1211;50,1,1094,1211;44,1,2166,2240;47,1,2166,2240",305,999,3,4,unisex,,471,364
"49,1,1211,1328;50,1,1211,1328;44,1,2240,2313;47,1,2240,2313",305,999,4,4,unisex,,472,364
"49,1,1328,1446;50,1,1328,1446;44,1,2313,2387;47,1,2313,2387",305,999,5,4,unisex,,473,364
"54,1,124,186;55,1,124,186;56,1,124,186",261,999,1,1,unisex,,474,320
"54,1,186,248;55,1,186,248;56,1,186,248",261,999,2,1,unisex,,475,320
"54,1,248,310;55,1,248,310;56,1,248,310",261,999,3,1,unisex,,476,320
"54,1,310,372;55,1,310,372;56,1,310,372",261,999,4,1,unisex,,477,320
"54,1,256,358;55,1,256,358;56,1,256,358",266,999,1,1,unisex,,478,325
"54,1,358,460;55,1,358,460;56,1,358,460",266,999,2,1,unisex,,479,325
"54,1,460,563;55,1,460,563;56,1,460,563",266,999,3,1,unisex,,480,325
"54,1,563,665;55,1,563,665;56,1,563,665",266,999,4,1,unisex,,481,325
"54,1,665,768;55,1,665,768;56,1,665,768",266,999,5,1,unisex,,482,325
"54,1,521,729;55,1,521,729;56,1,521,729",271,999,1,1,unisex,,483,330
"54,1,729,937;55,1,729,937;56,1,729,937",271,999,2,1,unisex,,484,330
"54,1,937,1145;55,1,937,1145;56,1,937,1145",271,999,3,1,unisex,,485,330
"54,1,1145,1353;55,1,1145,1353;56,1,1145,1353",271,999,4,1,unisex,,486,330
"54,1,1353,1562;55,1,1353,1562;56,1,1353,1562",271,999,5,1,unisex,,487,330
"54,1,148,222;55,1,148,222;56,1,148,222",262,999,1,2,unisex,,488,321
"54,1,222,296;55,1,222,296;56,1,222,296",262,999,2,2,unisex,,489,321
"54,1,296,370;55,1,296,370;56,1,296,370",262,999,3,2,unisex,,490,321
"54,1,370,445;55,1,370,445;56,1,370,445",262,999,4,2,unisex,,491,321
"54,1,306,428;55,1,306,428;56,1,306,428",267,999,1,2,unisex,,492,326
"54,1,428,551;55,1,428,551;56,1,428,551",267,999,2,2,unisex,,493,326
"54,1,551,673;55,1,551,673;56,1,551,673",267,999,3,2,unisex,,494,326
"54,1,673,796;55,1,673,796;56,1,673,796",267,999,4,2,unisex,,495,326
"54,1,796,919;55,1,796,919;56,1,796,919",267,999,5,2,unisex,,496,326
"54,1,623,872;55,1,623,872;56,1,623,872",272,999,1,2,unisex,,497,331
"54,1,872,1121;55,1,872,1121;56,1,872,1121",272,999,2,2,unisex,,498,331
"54,1,1121,1370;55,1,1121,1370;56,1,1121,1370",272,999,3,2,unisex,,499,331
"54,1,1370,1619;55,1,1370,1619;56,1,1370,1619",272,999,4,2,unisex,,500,331
"54,1,1619,1868;55,1,1619,1868;56,1,1619,1868",272,999,5,2,unisex,,501,331
"54,1,118,177;55,1,118,177;56,1,118,177",264,999,1,3,unisex,,502,323
"54,1,177,236;55,1,177,236;56,1,177,236",264,999,2,3,unisex,,503,323
"54,1,236,295;55,1,236,295;56,1,236,295",264,999,3,3,unisex,,504,323
"54,1,295,354;55,1,295,354;56,1,295,354",264,999,4,3,unisex,,505,323
"54,1,244,341;55,1,244,341;56,1,244,341",269,999,1,3,unisex,,506,328
"54,1,341,438;55,1,341,438;56,1,341,438",269,999,2,3,unisex,,507,328
"54,1,438,536;55,1,438,536;56,1,438,536",269,999,3,3,unisex,,508,328
"54,1,536,633;55,1,536,633;56,1,536,633",269,999,4,3,unisex,,509,328
"54,1,633,731;55,1,633,731;56,1,633,731",269,999,5,3,unisex,,510,328
"54,1,495,693;55,1,495,693;56,1,495,693",274,999,1,3,unisex,,511,333
"54,1,693,891;55,1,693,891;56,1,693,891",274,999,2,3,unisex,,512,333
"54,1,891,1089;55,1,891,1089;56,1,891,1089",274,999,3,3,unisex,,513,333
"54,1,1089,1287;55,1,1089,1287;56,1,1089,1287",274,999,4,3,unisex,,514,333
"54,1,1287,1485;55,1,1287,1485;56,1,1287,1485",274,999,5,3,unisex,,515,333
"54,1,94,140;55,1,94,140;56,1,94,140",263,999,1,5,unisex,,516,322
"54,1,140,187;55,1,140,187;56,1,140,187",263,999,2,5,unisex,,517,322
"54,1,187,234;55,1,187,234;56,1,187,234",263,999,3,5,unisex,,518,322
"54,1,234,281;55,1,234,281;56,1,234,281",263,999,4,5,unisex,,519,322
"54,1,193,270;55,1,193,270;56,1,193,270",268,999,1,5,unisex,,520,327
"54,1,270,347;55,1,270,347;56,1,270,347",268,999,2,5,unisex,,521,327
"54,1,347,425;55,1,347,425;56,1,347,425",268,999,3,5,unisex,,522,327
"54,1,425,502;55,1,425,502;56,1,425,502",268,999,4,5,unisex,,523,327
"54,1,502,580;55,1,502,580;56,1,502,580",268,999,5,5,unisex,,524,327
"54,1,393,550;55,1,393,550;56,1,393,550",273,999,1,5,unisex,,525,332
"54,1,550,707;55,1,550,707;56,1,550,707",273,999,2,5,unisex,,526,332
"54,1,707,864;55,1,707,864;56,1,707,864",273,999,3,5,unisex,,527,332
"54,1,864,1021;55,1,864,1021;56,1,864,1021",273,999,4,5,unisex,,528,332
"54,1,1021,1179;55,1,1021,1179;56,1,1021,1179",273,999,5,5,unisex,,529,332
"54,1,124,186;55,1,124,186;56,1,124,186",265,999,1,4,unisex,,530,324
"54,1,186,248;55,1,186,248;56,1,186,248",265,999,2,4,unisex,,531,324
"54,1,248,310;55,1,248,310;56,1,248,310",265,999,3,4,unisex,,532,324
"54,1,310,372;55,1,310,372;56,1,310,372",265,999,4,4,unisex,,533,324
"54,1,256,358;55,1,256,358;56,1,256,358",270,999,1,4,unisex,,534,329
"54,1,358,460;55,1,358,460;56,1,358,460",270,999,2,4,unisex,,535,329
"54,1,460,563;55,1,460,563;56,1,460,563",270,999,3,4,unisex,,536,329
"54,1,563,665;55,1,563,665;56,1,563,665",270,999,4,4,unisex,,537,329
"54,1,665,768;55,1,665,768;56,1,665,768",270,999,5,4,unisex,,538,329
"54,1,521,729;55,1,521,729;56,1,521,729",275,999,1,4,unisex,,539,334
"54,1,729,937;55,1,729,937;56,1,729,937",275,999,2,4,unisex,,540,334
"54,1,937,1145;55,1,937,1145;56,1,937,1145",275,999,3,4,unisex,,541,334
"54,1,1145,1353;55,1,1145,1353;56,1,1145,1353",275,999,4,4,unisex,,542,334
"54,1,1353,1562;55,1,1353,1562;56,1,1353,1562",275,999,5,4,unisex,,543,334
"38,1,56,60",248,999,1,8,unisex,22,550,304
"38,1,56,60",248,999,2,8,unisex,22,551,304
"38,1,56,60",248,999,3,8,unisex,22,552,304
"38,1,56,60",248,999,4,8,unisex,22,553,304
"38,1,61,65",254,999,1,8,unisex,22,554,310
"38,1,61,65",254,999,2,8,unisex,22,555,310
"38,1,61,65",254,999,3,8,unisex,22,556,310
"38,1,61,65",254,999,4,8,unisex,22,557,310
"38,1,61,65",254,999,5,8,unisex,22,558,310
"38,1,66,70",260,999,1,8,unisex,22,559,316
"38,1,66,70",260,999,2,8,unisex,22,560,316
"38,1,66,70",260,999,3,8,unisex,22,561,316
"38,1,66,70",260,999,4,8,unisex,22,562,316
"38,1,66,70",260,999,5,8,unisex,22,563,316
"13,1,40,122;16,1,0,0",306,999,1,8,unisex,"202,203,204",564,441
"13,1,121,162;16,1,0,2",307,999,1,8,unisex,"202,203,204",565,442
"13,1,202,229;16,1,5,6",308,999,1,8,unisex,"202,203,204",566,443
"13,1,283,303;16,1,10,11",309,999,1,8,unisex,"202,203,204",567,444
"13,1,364,380;16,1,15,16",310,999,1,8,unisex,"202,203,204",568,445
"13,1,445,461;16,1,20,21",311,999,1,8,unisex,"202,203,204",569,446
"13,1,283,303;16,1,10,11",312,999,1,8,unisex,"205,344,345",570,450
"13,1,364,380;16,1,15,16",313,999,1,8,unisex,"205,344,345",571,451
"13,1,445,461;16,1,20,21",314,999,1,8,unisex,"205,344,345",572,452
"13,1,162,203;16,1,2,5",307,999,2,8,unisex,"202,203,204",573,442
"13,1,256,284;16,1,8,10",308,999,3,8,unisex,"202,203,204",574,443
"13,1,229,256;16,1,6,8",308,999,2,8,unisex,"202,203,204",575,443
"13,1,344,365;16,1,13,15",309,999,4,8,unisex,"202,203,204",576,444
"13,1,324,344;16,1,12,13",309,999,3,8,unisex,"202,203,204",577,444
"13,1,303,324;16,1,11,12",309,999,2,8,unisex,"202,203,204",578,444
"13,1,429,446;16,1,19,20",310,999,5,8,unisex,"202,203,204",579,445
"13,1,413,429;16,1,18,19",310,999,4,8,unisex,"202,203,204",580,445
"13,1,396,413;16,1,17,18",310,999,3,8,unisex,"202,203,204",581,445
"13,1,380,396;16,1,16,17",310,999,2,8,unisex,"202,203,204",582,445
"13,1,510,527;16,1,24,25",311,999,5,8,unisex,"202,203,204",583,446
"13,1,494,510;16,1,23,24",311,999,4,8,unisex,"202,203,204",584,446
"13,1,477,494;16,1,22,23",311,999,3,8,unisex,"202,203,204",585,446
"13,1,461,477;16,1,21,22",311,999,2,8,unisex,"202,203,204",586,446
"13,1,344,365;16,1,13,15",312,999,4,8,unisex,"205,344,345",587,450
"13,1,324,344;16,1,12,13",312,999,3,8,unisex,"205,344,345",588,450
"13,1,303,324;16,1,11,12",312,999,2,8,unisex,"205,344,345",589,450
"13,1,429,446;16,1,19,20",313,999,5,8,unisex,"205,344,345",590,451
"13,1,413,429;16,1,18,19",313,999,4,8,unisex,"205,344,345",591,451
"13,1,396,413;16,1,17,18",313,999,3,8,unisex,"205,344,345",592,451
"13,1,380,396;16,1,16,17",313,999,2,8,unisex,"205,344,345",593,451
"13,1,510,527;16,1,24,25",314,999,5,8,unisex,"205,344,345",594,452
"13,1,494,510;16,1,23,24",314,999,4,8,unisex,"205,344,345",595,452
"13,1,477,494;16,1,22,23",314,999,3,8,unisex,"205,344,345",596,452
"13,1,461,477;16,1,21,22",314,999,2,8,unisex,"205,344,345",597,452
"46,1,8,24",318,999,1,8,unisex,30,598,453
"46,1,23,30",319,999,1,8,unisex,30,599,454
"46,1,30,37",319,999,2,8,unisex,30,600,454
"46,1,36,40",320,999,1,8,unisex,30,601,455
"46,1,40,44",320,999,2,8,unisex,30,602,455
"46,1,44,48",320,999,3,8,unisex,30,603,455
"46,1,48,50",321,999,1,8,unisex,30,604,456
"46,1,50,53",321,999,2,8,unisex,30,605,456
"46,1,53,56",321,999,3,8,unisex,30,606,456
"46,1,56,59",321,999,4,8,unisex,30,607,456
"46,1,58,60",322,999,1,8,unisex,30,608,457
"46,1,60,62",322,999,2,8,unisex,30,609,457
"46,1,62,64",322,999,3,8,unisex,30,610,457
"46,1,64,66",322,999,4,8,unisex,30,611,457
"46,1,66,68",322,999,5,8,unisex,30,612,457
"46,1,68,69",323,999,1,8,unisex,30,613,458
"46,1,69,71",323,999,2,8,unisex,30,614,458
"46,1,71,73",323,999,3,8,unisex,30,615,458
"46,1,73,75",323,999,4,8,unisex,30,616,458
"46,1,75,77",323,999,5,8,unisex,30,617,458
"10,1,0,0",324,999,5,1,unisex,,618,471
"10,1,0,0",325,999,5,2,unisex,,619,472
"10,1,0,0",326,999,5,5,unisex,,620,473
"10,1,0,0",327,999,5,3,unisex,,621,474
"10,1,0,0",328,999,5,4,unisex,,622,475
"51,1,284,527",173,999,2,8,unisex,323,623,227
"51,1,446,851",174,999,2,8,unisex,323,624,228
"51,1,851,1256",174,999,3,8,unisex,323,625,228
